,organism,protein ,Protein Type,uniprot,Alt. Names,gene ,CST_ID
67,mouse,Tyrosine-protein kinase Fyn,"EC 2.7.10.2; Kinase, protein; Oncoprotein; Protein kinase, TK; Protein kinase, tyrosine (non-receptor); Src family; SrcA subfamily; TK group",P39688,AI448320; AW552119; Fyn; Fyn proto-oncogene; MGC115870; p59-Fyn; Proto-oncogene c-Fyn; proto-oncogene tyrosine-protein kinase Fyn; Src Kinase p59; Tyrosine-protein kinase Fyn,Fyn,1638
68,mouse,GRB2-associated-binding protein 2,Adaptor/scaffold,Q9Z1S8,AI463667; D130058I17Rik; Gab2; Grb2 associated binder 2; GRB2-associated binder 2; GRB2-associated-binding protein 2; Growth factor receptor bound protein 2-associated protein 2; p97; PH domain-containing adaptor molecule p97,Gab2,1650
69,mouse,Gap junction alpha-1 protein,"Channel, misc.; Membrane protein, integral; Membrane protein, multi-pass; Motility/polarity/chemotaxis",P23242,"alpha 1 connexin; AU042049; AW546267; Cnx4; Cnx43; conne; connexin 43; connexin k1; Connexin-43; connexin43; Cx43; Cx43al; Cx43alpha1; CXA1; Cxn-43; Cxnk1; Gap junction 43 kDa heart protein; Gap junction alpha-1 protein; gap junction membrane channel protein alpha 1; gap junction protein, alpha 1; Gja-; Gja-1; Gja1; Npm1",Gja1,1512
70,mouse,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12,"G protein; G protein, heterotrimeric; G protein, heterotrimeric gamma",Q9DAS9,"2010305F15Rik; AA536815; AI115529; AI314170; AI842738; G-gamma 12; GBG12; Gng12; guanine nucleotide binding protein (G protein), gamma 12; Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12; OTTMUSP00000026466; OTTMUSP00000026467; OTTMUSP00000026468; OTTMUSP00000026469; OTTMUSP00000026470; OTTMUSP00000026471; OTTMUSP00000026472",Gng12,1278
71,human,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12,"G protein; G protein, heterotrimeric; G protein, heterotrimeric gamma",Q9UBI6,"FLJ31352; FLJ34695; G protein subunit gamma 12; G-gamma 12; G-protein gamma-12 subunit; GBG12; GNG12; guanine nucleotide binding protein (G protein), gamma 12; Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12",GNG12,1644
72,human,Growth factor receptor-bound protein 10,Adaptor/scaffold,Q13322,Grb-10; GRB-IR; GRB10; GRB10 adapter protein; GRB10 adaptor protein; GRBIR; growth factor receptor bound protein 10; Growth factor receptor-bound protein 10; Insulin receptor-binding protein Grb-IR; IRBP; KIAA0207; maternally expressed gene 1; MEG1; RSS,GRB10,1091
73,human,Growth factor receptor-bound protein 2,Adaptor/scaffold; Cell development/differentiation; Motility/polarity/chemotaxis,P62993,abundant SRC homology; Adapter protein GRB2; ASH; EGFRBP-GRB2; epidermal growth factor receptor-binding protein GRB2; epididymis secretory sperm binding protein; GRB2; Grb3-3; growth factor receptor bound protein 2; Growth factor receptor-bound protein 2; growth factor receptor-bound protein 3; HT027; MST084; MSTP084; NCKAP2; Protein Ash; SH2/SH3 adapter GRB2,GRB2,1123
74,mouse,Growth factor receptor-bound protein 2,Adaptor/scaffold; Cell development/differentiation; Motility/polarity/chemotaxis,Q60631,AA408164; Adapter protein GRB2; Ash; Grb2; growth factor receptor bound protein 2; Growth factor receptor-bound protein 2; OTTMUSP00000003660; OTTMUSP00000003661; RP23-28I4.1; SH2/SH3 adapter GRB2,Grb2,1668
75,human,Glutamate receptor 2,"Channel, calcium; Channel, ligand-gated; Membrane protein, integral; Membrane protein, multi-pass",P42262,"AMPA-selective glutamate receptor 2; GluA2; GluR-2; GluR-B; GluR-K2; GLUR2; GLURB; glutamate ionotropic receptor AMPA type subunit 2; Glutamate receptor 2; Glutamate receptor ionotropic, AMPA 2; glutamate receptor, ionotropic, AMPA 2; GRIA2; HBGR2; NEDLIB",GRIA2,1665
76,human,"Glutamate receptor ionotropic, NMDA 2A","Channel, ligand-gated; Membrane protein, integral; Membrane protein, multi-pass",Q12879,"EPND; FESD; GluN2A; Glutamate [NMDA] receptor subunit epsilon-1; glutamate ionotropic receptor NMDA type subunit 2A; Glutamate receptor ionotropic, NMDA 2A; glutamate receptor, ionotropic, N-methyl D-aspartate 2A; GRIN2A; hNR2A; LKS; N-methyl D-aspartate receptor subtype 2A; N-methyl-D-aspartate receptor channel, subunit epsilon-1; N-methyl-D-aspartate receptor subunit 2A; NMDA receptor subtype 2A; NMDAR2A; NMDE1; NR2A",GRIN2A,1100
77,mouse,"Glutamate receptor ionotropic, NMDA 2A","Channel, ligand-gated; Membrane protein, integral; Membrane protein, multi-pass",P35436,"Glu; GluN2A; GluRepsilon1; Glutamate [NMDA] receptor subunit epsilon-1; Glutamate receptor ionotropic, NMDA 2A; glutamate receptor, ionotropic, NMDA2A (epsilon 1); Grin2a; N-methyl D-aspartate receptor subtype 2A; NMD; NMDAR2A; NMDE1; NR2A; OTTMUSP00000017426",Grin2a,1761
78,rat,Beta-adrenergic receptor kinase 1,"AGC group; BARK subfamily; EC 2.7.11.15; GRK family; Kinase, protein; Protein kinase, AGC; Protein kinase, Ser/Thr (non-receptor)",P26817,"Adrbk1; adrenergic receptor kinase, beta 1; adrenergic, beta, receptor kinase 1; ARBK1; BARK1; Beta-adrenergic receptor kinase 1; beta-adrenergic receptor kinase 1 beta ARK1; Beta-ARK-1; G-protein-coupled receptor kinase 2; GRK-2; Grk2",Grk2,1673
79,mouse,Glycogen synthase kinase-3 beta,"CMGC group; EC 2.7.11.1; EC 2.7.11.26; GSK family; GSK subfamily; Kinase, protein; Protein kinase, CMGC; Protein kinase, Ser/Thr (non-receptor)",Q9WV60,7330414F15Rik; 8430431H08Rik; C86142; glycogen synthase kinase 3 beta; Glycogen synthase kinase-3 beta; GSK; GSK-; GSK-3; GSK-3 beta; GSK-3be; GSK-3beta; GSK3; Gsk3b; GSK3beta; OTTMUSP00000017445; Serine/threonine-protein kinase GSK3B,Gsk3b,1678
80,human,Tyrosine-protein kinase HCK,"EC 2.7.10.2; Kinase, protein; Oncoprotein; Protein kinase, TK; Protein kinase, tyrosine (non-receptor); Src family; SrcB subfamily; TK group",P08631,"HCK; HCK proto-oncogene, Src family tyrosine kinase; Hematopoietic cell kinase; Hemopoietic cell kinase; JTK9; p59-HCK/p60-HCK; p59Hck; p61Hck; Tyrosine-protein kinase HCK",HCK,1243
81,human,Histone deacetylase 1,Deacetylase; EC 3.5.1.98; Hydrolase; Nuclear receptor co-regulator,Q13547,"DKFZp686H12203; GON-10; HD1; HDAC 1; HDAC1; Histone deacetylase 1; KDAC1; reduced potassium dependency, yeast homolog-like 1; RPD3; RPD3L1",HDAC1,1133
82,mouse,Histone deacetylase 5,Deacetylase; EC 3.5.1.98; Hydrolase,Q9Z2V6,AI426555; HD5; Hdac4; Hdac5; histone deacetylase 4; Histone deacetylase 5; Histone deacetylase mHDA1; mHDA; mHDA1; mKIAA0600; OTTMUSP00000002428,Hdac5,1610
83,mouse,Protein HIRA,Cell cycle regulation; Cell development/differentiation; Transcription regulation,Q61666,AA138857; D16Ertd95; D16Ertd95e; Gm15797; Hira; histone cell cycle regulation defective homolog A; histone cell cycle regulation defective homolog A (S. cerevisiae); histone cell cycle regulator; N28177; Protein HIRA; TUP1-like enhancer of split gene 1; TUP1-like enhancer of split protein 1; Tupl; Tuple1,Hira,1652
84,human,3-hydroxy-3-methylglutaryl-coenzyme A reductase,"EC 1.1.1.34; Endoplasmic reticulum; Membrane protein, integral; Membrane protein, multi-pass; Motility/polarity/chemotaxis; Oxidoreductase; Secondary Metabolites Metabolism - terpenoid backbone biosynthesis",P04035,3-hydroxy-3-methylglutaryl CoA reductase (NADPH); 3-hydroxy-3-methylglutaryl-CoA reductase; 3-hydroxy-3-methylglutaryl-coenzyme A reductase; HMDH; HMG-CoA reductase; HMGCR; hydroxymethylglutaryl-CoA reductase; LDLCQ3,HMGCR,1659
85,human,Heat shock protein HSP 90-alpha,Chaperone; Heat shock protein,P07900,"EL52; epididymis luminal secretory protein 52; epididymis secretory sperm binding protein Li 65p; FLJ31884; Heat shock 86 kDa; heat shock 90kD protein 1, alpha; heat shock 90kD protein 1, alpha-like 4; heat shock 90kD protein, alpha-like 4; heat shock 90kDa protein 1, alpha; heat shock protein 90 alpha family class A member 1; heat shock protein 90kDa alpha (cytosolic), class A member 1; heat shock protein 90kDa alpha family class A member 1; Heat shock protein HSP 90-alpha; HEL-S-65p; HS90A; HSP 86; Hsp103; HSP86; Hsp89; HSP89A; Hsp90; HSP90A; HSP90AA1; HSP90N; HSPC1; HSPCA; HSPCAL1; HSPCAL4; HSPN; LAP-2; LAP2; Lipopolysaccharide-associated protein 2; LPS-associated protein 2; Renal carcinoma antigen NY-REN-38",HSP90AA1,1179
86,mouse,Heat shock protein beta-1,Chaperone; Heat shock protein; Motility/polarity/chemotaxis; SUMO ligase,P14602,"27kDa; Growth-related 25 kDa protein; Heat shock 25 kDa protein; Heat shock 27 kDa protein; heat shock 27kDa protein 1; heat shock protein 1; Heat shock protein beta-1; heat shock protein, 25 kDa; Hsp; HSP 25; HSP 27; Hsp25; Hsp27; HspB1; OTTMUSP00000028918; p25; truncated hsp25",Hspb1,1682
87,human,Huntingtin,Cytoskeletal,P42858,"HD; HD protein; HTT; Huntingtin; Huntingtin, myristoylated N-terminal fragment; Huntington disease protein; IT15; LOMARS",HTT,1292
88,rat,Huntingtin,Cytoskeletal,P51111,Hd; HD protein homolog; Hdh; Htt; Huntingtin; huntingtin (Huntington disease); Huntington disease gene homolog; Huntington disease protein homolog,Htt,1577
89,rat,Insulin-like growth factor 1 receptor,"EC 2.7.10.1; InsR family; Kinase, protein; Membrane protein, integral; Protein kinase, TK; Protein kinase, tyrosine (receptor); TK group",P24062,IGF-I receptor; Igf1r; IGFIRC; Insulin-like growth factor 1 receptor; Insulin-like growth factor 1 receptor alpha chain; Insulin-like growth factor 1 receptor beta chain; Insulin-like growth factor I receptor; JTK13,Igf1r,1691
90,human,Inhibitor of nuclear factor kappa-B kinase subunit epsilon,"EC 2.7.11.10; IKK family; Inhibitor; Kinase, protein; Other group; Protein kinase, Other; Protein kinase, Ser/Thr (non-receptor)",Q14164,"I-kappa-B kinase epsilon; IKBKE; IKK-E; IKK-epsilon; IKK-i; IKK-related kinase epsilon; IKKE; IKKI; Inducible I kappa-B kinase; inducible IkappaB kinase; inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase epsilon; inhibitor of nuclear factor kappa B kinase subunit epsilon; Inhibitor of nuclear factor kappa-B kinase subunit epsilon; KIAA0151; MGC125294; MGC125295; MGC125297",IKBKE,1136
91,human,Interleukin-6 receptor subunit beta,"Membrane protein, integral; Receptor, cytokine",P40189,"CD130; CD130 antigen; CDw130; gp130; gp130 of the rheumatoid arthritis antigenic peptide-bearing soluble form; gp130 transducer chain; gp130, oncostatin M receptor; GP130-RAPS; HIES4; IL-6 receptor subunit beta; IL-6R subunit beta; IL-6R-beta; IL-6RB; IL6R-beta; IL6RB; IL6ST; IL6ST nirs variant 3; interleukin 6 signal transducer; interleukin 6 signal transducer (gp130, oncostatin M receptor); interleukin receptor beta chain; Interleukin-6 receptor subunit beta; Interleukin-6 signal transducer; Membrane glycoprotein 130; membrane glycoprotein gp130; oncostatin M receptor; Oncostatin-M receptor subunit alpha; sGP130",IL6ST,1105
92,mouse,Interleukin-6 receptor subunit beta,"Membrane protein, integral; Receptor, cytokine",Q00560,5133400A03Rik; AA389424; BB405851; CD130; D13Ertd699; D13Ertd699e; gp13; gp130; IL-6 receptor subunit beta; IL-6R subunit beta; IL-6R-beta; IL-6RB; IL6RB; Il6st; interleukin 6 signal transducer; Interleukin-6 receptor subunit beta; Interleukin-6 signal transducer; Membrane glycoprotein 130; Oncostatin-M receptor subunit alpha,Il6st,1439
93,human,Integrin alpha-3,"Cell adhesion; Membrane protein, integral; Motility/polarity/chemotaxis; Receptor, misc.",P26006,"alpha 3 subunit of VLA-3 receptor; antigen CD49C; antigen identified by monoclonal antibody J143; CD49 antigen-like family member C; CD49C; FLJ34631; FLJ34704; FRP-2; Galactoprotein B3; GAP-B3; GAPB3; ILNEB; integrin alpha 3; Integrin alpha-3; Integrin alpha-3 heavy chain; Integrin alpha-3 light chain; integrin subunit alpha 3; integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor); ITA3; ITGA3; MSK18; testicular tissue protein Li 96; testicular tissue protein Li 98; VCA-2; very late activation protein 3 receptor, alpha-3 subunit; VL3A; VLA-3 subunit alpha; VLA3a",ITGA3,1325
94,mouse,Tyrosine-protein kinase JAK1,"EC 2.7.10.2; Jak family; Kinase, protein; Protein kinase, TK; Protein kinase, tyrosine (non-receptor); TK group",P52332,AA960307; BAP0; BAP004; C130039L05Rik; JAK-1; Jak1; Janus kinase 1; MGC37919; OTTMUSP00000008566; Tyrosine-protein kinase JAK1,Jak1,1637
95,rat,Tyrosine-protein kinase JAK2,"EC 2.7.10.2; Jak family; Kinase, protein; Oncoprotein; Protein kinase, TK; Protein kinase, tyrosine (non-receptor); TK group",Q62689,JAK-2; Jak2; Janus kinase 2; Janus kinase 2 (a protein tyrosine kinase); Tyrosine-protein kinase JAK2,Jak2,1640
96,mouse,Tyrosine-protein kinase JAK3,"EC 2.7.10.2; Jak family; Kinase, protein; Protein kinase, TK; Protein kinase, tyrosine (non-receptor); TK group",Q62137,fae; JAK-3; Jak3; Janus kinase 3; OTTMUSP00000023247; OTTMUSP00000023248; OTTMUSP00000023249; Tyrosine-protein kinase JAK3; wil,Jak3,1641
97,mouse,Jun dimerization protein 2,"Nuclear receptor co-regulator; Transcription, coactivator/corepressor",P97875,c-Jun dimerization protein 2; Jdp2; Jun dimerization protein 2; Jundm; Jundm2; Jundp2; TIF,Jdp2,1106
98,human,Kinesin-like protein KIF11,Microtubule-binding; Motor,P52732,EG5; HKSP; KIF11; kinesin family member 11; kinesin-like 1; Kinesin-like protein 1; Kinesin-like protein KIF11; Kinesin-like spindle protein HKSP; Kinesin-related motor protein Eg5; KNSL1; MCLMR; thyroid receptor interacting protein 5; Thyroid receptor-interacting protein 5; TR-interacting protein 5; TRIP-5; TRIP5,KIF11,1081
99,mouse,Kinesin-like protein KIF11,Microtubule-binding; Motor,Q6P9P6,Eg5; Kif; Kif11; Kif8; Kifl1; kinesin 11; kinesin family member 11; kinesin-like 1; Kinesin-like protein KIF11; Kinesin-related motor protein Eg5; Knsl1,Kif11,1539
100,mouse,"Keratin, type II cytoskeletal 8",Cytoskeletal,P11679,"AA960620; AL022697; AU019895; Car; Card2; CK-8; cytokeratin 8; Cytokeratin endo A; Cytokeratin-8; EndoA; K2C8; K8; keratin 8; keratin complex 2, basic, gene 8; Keratin, type II cytoskeletal 8; Keratin-8; Krt-2.; Krt-2.8; Krt2-; Krt2-8; Krt8; MGC118110; Type-II keratin Kb8",Krt8,1476
101,human,Lymphocyte cytosolic protein 2,Adaptor/scaffold,Q13094,76 kDa tyrosine phosphoprotein; LCP2; Lymphocyte cytosolic protein 2; lymphocyte cytosolic protein 2 (SH2 domain containing leukocyte protein of 76kDa); SH2 domain-containing leukocyte protein of 76 kDa; SH2 domain-containing leukocyte protein of 76kD; SLP-76; SLP-76 tyrosine phosphoprotein; SLP76,LCP2,1188
102,mouse,Lymphocyte cytosolic protein 2,Adaptor/scaffold,Q60787,AI323664; BB161688; Lcp2; Lymphocyte cytosolic protein 2; m1Kho; m1Khoe; RP23-216O18.1; SH2 domain-containing leukocyte protein of 76 kDa; SLP; SLP-76; SLP-76 tyrosine phosphoprotein; SLP76; twm,Lcp2,1561
103,mouse,DNA ligase 1,"DNA repair, damage; EC 6.5.1.1; Ligase",P37913,"AL033288; DNA ligase 1; DNA ligase I; DNLI1; Lig-1; Lig1; ligase I, DNA, ATP-dependent; LigI; Polydeoxyribonucleotide synthase [ATP] 1",Lig1,1523
104,human,Microtubule-associated protein 2,Cytoskeletal; Motility/polarity/chemotaxis,P11137,DKFZp686I2148; MAP-2; MAP2; MAP2A; MAP2B; MAP2C; microtubule associated protein 2; Microtubule-associated protein 2; MTAP2,MAP2,1132
105,mouse,Dual specificity mitogen-activated protein kinase kinase 1,"EC 2.7.12.2; Kinase, protein; MEK3 subfamily; Protein kinase, STE; Protein kinase, dual-specificity (non-receptor); STE group; STE7 family",P31938,"Dual specificity mitogen-activated protein kinase kinase 1; ERK activator kinase 1; MAP kinase kinase 1; Map2k1; MAPK/ERK kinase 1; MAPKK 1; MAPKK1; MEK 1; Mek1; MEKK1; mitogen activated protein kinase kinase 1; mitogen-activated protein kinase kinase 1; MP2K1; OTTMUSP00000018355; Prkm; Prkmk1; protein kinase, mitogen activated, kinase 1, p45",Map2k1,1335
106,mouse,Dual specificity mitogen-activated protein kinase kinase 4,"EC 2.7.12.2; Kinase, protein; MEK4 subfamily; Protein kinase, STE; Protein kinase, dual-specificity (non-receptor); STE group; STE7 family",P47809,"C-JUN N-terminal kinase kinase 1; Dual specificity mitogen-activated protein kinase kinase 4; JNK kinase 1; JNK-activating kinase 1; JNKK; JNKK 1; Jnkk1; MAP kinase kinase 4; Map2k4; MAPK/ERK kinase 4; MAPKK 4; MEK 4; MEK4; mitogen activated protein kinase kinase 4, variant 1; mitogen-activated protein kinase kinase 4; MKK4; MP2K4; OTTMUSP00000006102; Prkmk4; SAPK/ERK kinase 1; SAPK/Erk/kinase 1; Sek; SEK1; Ser; Serk1; Skk1",Map2k4,1462
107,rat,Mitogen-activated protein kinase kinase 6,"EC 2.7.12.2; Kinase, protein; MEK1 subfamily; Protein kinase, STE; Protein kinase, dual-specificity (non-receptor); STE group; STE7 family",Q925D6,"dual specificity mitogen-activated protein kinase kinase 6; Map2k6; MGC93287; Mitogen-activated protein kinase kinase 6; Mitogen-activated protein kinase kinase 6, isoform CRA_a; Mkk6",Map2k6,1741
108,mouse,Mitogen-activated protein kinase kinase kinase 11,"EC 2.7.11.25; Kinase, protein; MLK family; MLK subfamily; Protein kinase, Ser/Thr (non-receptor); Protein kinase, TKL; TKL group",Q80XI6,2610017K16Rik; M3K11; Map3k11; mitogen activated protein kinase kinase kinase 11; Mitogen-activated protein kinase kinase kinase 11; Mixed lineage kinase 3; Mlk; Mlk3; PTK1; SPRK,Map3k11,1744
109,rat,Mitogen-activated protein kinase 3,"CMGC group; EC 2.7.11.24; ERK1 subfamily; Kinase, protein; MAPK family; MAPK/ERK subfamily; Protein kinase, CMGC; Protein kinase, Ser/Thr (non-receptor)",P21708,"ERK; ERK-1; Erk1; ERT2; Esrk1; Extracellular signal-regulated kinase 1; extracellular-signal-regulated kinase 1; Insulin-stimulated MAP2 kinase; MAP kinase 1; MAP kinase 3; MAP kinase isoform p44; MAPK 1; MAPK 3; Mapk3; Microtubule-associated protein 2 kinase; mitogen activated kinase 3; mitogen activated protein kinase 3; mitogen-activated 3 (MAP kinase 3); Mitogen-activated protein kinase 1; Mitogen-activated protein kinase 3; MK03; MNK1; p44; p44-ERK1; p44-MAPK; p44erk1; p44mapk; Prkm3; Protein kinase mitogen activated 3 (extracellular-signal-regulated kinase 1 ERK1); protein kinase, mitogen activated 3 (extracellular-signal-regulated kinase 1, ERK1)",Mapk3,1334
110,mouse,Mitogen-activated protein kinase 7,"CMGC group; EC 2.7.11.24; ERK5 subfamily; Kinase, protein; MAPK family; MAPK/ERK subfamily; Protein kinase, CMGC; Protein kinase, Ser/Thr (non-receptor)",Q9WVS8,b2b2346C; b2b2346Clo; Big MAP kinase 1; BMK-1; Bmk1; ERK; ERK-5; Erk5; Erk5-; Erk5-T; extracellular signal regulated kinase 5; Extracellular signal-regulated kinase 5; MAP kinase 7; MAPK 7; Mapk7; mitogen activated protein kinase 7; mitogen-activated kinase 7; Mitogen-activated protein kinase 7; MK07; OTTMUSP00000006027; PRKM7,Mapk7,1585
111,mouse,Mitogen-activated protein kinase 9,"CMGC group; EC 2.7.11.24; JNK subfamily; Kinase, protein; MAPK family; MAPK/JNK subfamily; Protein kinase, CMGC; Protein kinase, Ser/Thr (non-receptor)",Q9WTU6,"AI851083; c-Jun N-terminal kinase 2; JNK; JNK/SAPK alpha; Jnk2; Jun kinase; MAP kinase 9; MAPK 9; Mapk9; mitogen activated protein kinase 9; Mitogen-activated protein kinase 9; MK09; OTTMUSP00000005725; OTTMUSP00000005726; p54aSAPK; Prk; Prkm9; protein kinase, mitogen-activated 9; Stress-activated protein kinase JNK2",Mapk9,1631
112,mouse,E3 ubiquitin-protein ligase Mdm2,EC 6.3.2.-; EC 6.3.2.19; Inhibitor; Ligase; NEDDYLATION LIGASE; Neddylation Ligase; Nucleolus; Oncoprotein; Ubiquitin conjugating system; Ubiquitin ligase,P23804,1700007J15Rik; AA415488; Double minute 2 protein; E3 ubiquitin-protein ligase Mdm2; Mdm-2; Mdm2; Oncoprotein Mdm2; OTTMUSP00000022916; p53-binding protein Mdm2; RING-type E3 ubiquitin transferase Mdm2; transformed mouse 3T3 cell double minute 2,Mdm2,1139
113,human,Mucin-1,"Actin-binding; Cell adhesion; Membrane protein, integral; Motility/polarity/chemotaxis; Nuclear receptor co-regulator; Tumor suppressor",P15941,"ADMCKD; ADMCKD1; Breast carcinoma-associated antigen DF3; CA 15-3; Cancer antigen 15-3; Carcinoma-associated mucin; CD227; DF3 antigen; EMA; Episialin; H23 antigen; H23AG; KL-6; Krebs von den Lungen-6; MAM6; MCD; MCKD; MCKD1; MUC-1; MUC-1/SEC; MUC-1/X; MUC1; MUC1-alpha; MUC1-beta; MUC1-CT; MUC1-NT; MUC1/ZD; mucin 1, cell surface associated; mucin 1, transmembrane; Mucin-1; Mucin-1 subunit alpha; Mucin-1 subunit beta; Peanut-reactive urinary mucin; PEM; PEMT; Polymorphic epithelial mucin; PUM; tumor associated epithelial mucin; Tumor-associated epithelial membrane antigen; Tumor-associated mucin",MUC1,1097
114,human,Myosin regulatory light chain 12B,Contractile,O14950,"ML12B; MLC-2; MLC-2A; MLC-B; MLC20; MRLC2; MYL12B; MYLC2B; myosin light chain 12B; Myosin regulatory light chain 12B; myosin regulatory light chain 2; Myosin regulatory light chain 2-B, smooth muscle isoform; Myosin regulatory light chain 20 kDa; Myosin regulatory light chain MRLC2; myosin, light chain 12B, regulatory; SHUJUN-1",MYL12B,1771
115,mouse,Neutrophil cytosol factor 4,Oxidoreductase,P97369,AI451400; NCF-4; Ncf4; Neutrophil cytosol factor 4; neutrophil cytosolic factor 4; neutrophil NADPH oxidase factor 4; p40-phox; p40p; p40phox,Ncf4,1291
116,human,Neurofilament medium polypeptide,Cytoskeletal,P07197,"160 kDa neurofilament protein; NEF3; NEFM; Neurofilament 3; Neurofilament M; neurofilament medium; Neurofilament medium polypeptide; Neurofilament triplet M protein; neurofilament, medium polypeptide; neurofilament, medium polypeptide 150kDa; neurofilament-3 (150 kD medium); NF-M; NFM",NEFM,1212
117,human,Serine/threonine-protein kinase Nek7,"EC 2.7.11.1; Kinase, protein; NEK family; NEK6 subfamily; Other group; Protein kinase, Other; Protein kinase, Ser/Thr (non-receptor)",Q8TDX7,NEK7; Never in mitosis A-related kinase 7; NIMA (never in mitosis gene a)-related kinase 7; NIMA related kinase 7; NimA-related protein kinase 7; Serine/threonine-protein kinase Nek7,NEK7,1752
118,human,NF-kappa-B inhibitor beta,Inhibitor,Q15653,"I-kappa-B-beta; IkappaBbeta; IkB-B; IkB-beta; IKBB; NF-kappa-B inhibitor beta; NF-kappa-BIB; NFKB inhibitor beta; NFKBIB; nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, beta; Thyroid receptor-interacting protein 9; TR-interacting protein 9; TRIP-9; TRIP9",NFKBIB,1309
119,mouse,Atrial natriuretic peptide receptor 1,"EC 4.6.1.2; Guanylyl cyclase; Kinase, protein; Lyase; Membrane protein, integral; Nucleotide Metabolism - purine; Protein kinase, RGC; Protein kinase, dual-specificity (receptor); RGC family; RGC group; Receptor, misc.",P18293,AI893888; ANP-A; ANPA; ANPR-A; ANPRA; Atrial natriuretic peptide receptor 1; Atrial natriuretic peptide receptor type A; GC-; GC-A; Guanylate cyclase A; guanylyl cyclase-A; MGC117511; natriuretic peptide receptor 1; Nppa receptor; NPR-A; Npr1; Npra; Pndr,Npr1,1765
120,human,Atrial natriuretic peptide receptor 2,"EC 4.6.1.2; Guanylyl cyclase; Kinase, protein; Lyase; Membrane protein, integral; Nucleotide Metabolism - purine; Protein kinase, RGC; Protein kinase, dual-specificity (receptor); RGC family; RGC group; Receptor, misc.",P20594,AMDM; ANP-B; ANPb; ANPR-B; ANPRB; atrial natriuretic peptide B-type receptor; Atrial natriuretic peptide receptor 2; Atrial natriuretic peptide receptor type B; ECDM; GC-B; GCB; guanylate cyclase 2B; Guanylate cyclase B; GUC2B; GUCY2B; natriuretic peptide receptor 2; natriuretic peptide receptor B/guanylate cyclase B (atrionatriuretic peptide receptor B); NPR-B; NPR2; NPRB; NPRBi; SNSK,NPR2,1079
121,rat,Atrial natriuretic peptide receptor 2,"EC 4.6.1.2; Guanylyl cyclase; Kinase, protein; Lyase; Membrane protein, integral; Nucleotide Metabolism - purine; Protein kinase, RGC; Protein kinase, dual-specificity (receptor); RGC family; RGC group; Receptor, misc.",P16067,ANP-B; ANPB; ANPR-B; ANPRB; atrial natriuretic peptide B-type receptor; Atrial natriuretic peptide receptor 2; atrial natriuretic peptide receptor B; Atrial natriuretic peptide receptor type B; GC-B; Guanylate cyclase B; natriuretic peptide receptor 2; natriuretic peptide receptor B/guanylate cyclase B (atrionatriuretic peptide receptor B); natriuretic peptide receptor-B; NPR-B; Npr2,Npr2,1766
122,human,Glucocorticoid receptor,DNA-binding; Mitochondrial; Nuclear receptor; Transcription factor,P04150,"GCCR; GCR; GCRST; glucocorticoid nuclear receptor variant 1; Glucocorticoid receptor; GR; GRL; NR3C1; Nuclear receptor subfamily 3 group C member 1; nuclear receptor subfamily 3 group C member 1 variant hGR-B(54); nuclear receptor subfamily 3 group C member 1 variant hGR-B(77); nuclear receptor subfamily 3 group C member 1 variant hGR-B(93); nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)",NR3C1,1310
123,rat,UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit,EC 2.4.1.255; Glycan Metabolism - O-glycan biosynthesis; Transferase,P56558,O linked N-acetylglucosamine transferase; O-GlcNAc transferase subunit p110; O-linked N-acetylglucosamine (GlcNAc) transferase (UDP-N-acetylglucosamine:polypeptide-N-acetylglucosaminyl transferase); O-linked N-acetylglucosamine transferase 110 kDa subunit; Ogt; OGT1; UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit; UDP-N-acetylglucosamine:polypeptide-N-acetylglucosaminyl transferase,Ogt,1269
124,human,Delta-type opioid receptor,"GPCR, family 1; Membrane protein, integral; Membrane protein, multi-pass; Receptor, GPCR",P41143,"D-OR-1; delta opioid receptor 1; Delta-type opioid receptor; DOP; DOR; DOR-1; DOR1; opioid receptor delta 1; opioid receptor, delta 1; OPRD; OPRD1",OPRD1,1520
125,human,"cGMP-inhibited 3',5'-cyclic phosphodiesterase 3B","EC 3.1.4.17; Membrane protein, integral; Membrane protein, multi-pass; Nucleotide Metabolism - purine; Phosphodiesterase",Q13370,"CGI-PDE B; CGIP1; CGIPDE1; cGMP-inhibited 3',5'-cyclic phosphodiesterase 3B; cGMP-inhibited 3',5'-cyclic phosphodiesterase B; Cyclic GMP-inhibited phosphodiesterase B; cyclic nucleotide phosphodiesterase; HcGIP1; PDE3B; phosphodiesterase 3B; phosphodiesterase 3B, cGMP-inhibited",PDE3B,1025
